ProjID,market,leaseup_months,stabilized,Name,Submarket,Quantity,AreaPerUnit,occ_velocity,concession_burn_rate,rent_gap_vs_submarket,grade_score,delivery_era,delivery_season,log_quantity,season_enc,era_enc,market_enc
26420,"Austin-Round Rock, TX",5.0,True,Bell Hill Country,Southwest Austin,276,968,0.03733333333333333,-0.0289982425307558,94.0,6.0,Recovery,Winter,5.62040086571715,3,1,1
43125,"Austin-Round Rock, TX",5.0,True,Bell Quarry Hill,Southwest Austin,148,872,0.16899999999999996,0.0,124.5,2.0,Recovery,Fall,4.997212273764115,2,1,1
37407,"Austin-Round Rock, TX",31.0,True,Bell South Lamar,South Austin,357,865,0.057,-0.0022864546615094417,408.0,3.0,Expansion,Winter,5.877735781779639,3,2,1
86202,"Austin-Round Rock, TX",12.0,True,Bell Southpark,Far South Austin,330,870,0.10099999999999999,0.0,189.0,1.0,Expansion,Winter,5.799092654460526,3,2,1
38381,"Austin-Round Rock, TX",14.0,True,Bell Steiner Ranch,Far West Austin,302,1079,0.044000000000000004,-0.0022985855603518787,380.0,1.0,Expansion,Spring,5.71042701737487,0,2,1
45569,"Austin-Round Rock, TX",12.0,True,Belterra Springs,Southwest Austin,152,950,0.09399999999999999,0.0,117.0,4.0,Expansion,Summer,5.0238805208462765,1,2,1
50902,"Austin-Round Rock, TX",12.0,True,Berkshire Lakeway,Southwest Austin,350,1073,0.05033333333333334,0.0,249.5,4.0,Expansion,Summer,5.857933154483459,1,2,1
45127,"Austin-Round Rock, TX",13.0,True,Bexley 3Five,Southeast Austin,338,916,0.013666666666666667,0.0023736591521826386,309.0,1.0,Expansion,Winter,5.823045895483019,3,2,1
19170,"Austin-Round Rock, TX",13.0,True,Bexley at Silverado,Cedar Park,300,972,0.003333333333333336,-0.006435493640218047,135.0,3.0,Pre-GFC,Spring,5.703782474656201,0,0,1
47606,"Austin-Round Rock, TX",9.0,True,Bexley at Tech Ridge,North Central Austin,342,927,0.06533333333333331,0.0,204.0,2.0,Recovery,Fall,5.834810737062605,2,1,1
47574,"Austin-Round Rock, TX",15.0,True,Bexley at Whitestone,Cedar Park,340,1047,0.03833333333333334,-0.004006535154546968,122.0,5.0,Expansion,Fall,5.8289456176102075,2,2,1
42731,"Austin-Round Rock, TX",11.0,True,Bexley Lakeline,Cedar Park,344,888,0.04066666666666667,0.0,58.5,3.0,Expansion,Summer,5.840641657373398,1,2,1
81450,"Austin-Round Rock, TX",24.0,True,Bexley Wolf Ranch,Round Rock/Georgetown,332,927,0.028999999999999998,0.0033344931570401287,271.0,2.0,Expansion,Summer,5.805134968916488,1,2,1
82239,"Austin-Round Rock, TX",10.0,True,Biltmore at the Park,Pflugerville/Wells Branch,254,838,0.07600000000000001,-0.004149038991893078,-58.0,7.0,Expansion,Summer,5.537334267018537,1,2,1
45204,"Austin-Round Rock, TX",6.0,True,Blanco River Lodge,San Marcos,186,847,0.07533333333333334,9.904781798874991e-05,196.0,1.0,Recovery,Spring,5.225746673713202,0,1,1
52374,"Austin-Round Rock, TX",13.0,True,Broadstone 8 One Hundred,Northwest Austin,376,807,0.07433333333333332,-0.0020243514219417847,47.0,2.0,Expansion,Summer,5.929589143389895,1,2,1
26404,"Austin-Round Rock, TX",12.0,True,Broadstone Grand Avenue,Pflugerville/Wells Branch,280,833,0.03333333333333336,0.004318806438947785,270.5,1.0,Recovery,Fall,5.634789603169249,2,1,1
26391,"Austin-Round Rock, TX",2.0,True,Broadstone Travesia,Pflugerville/Wells Branch,396,885,0.00833333333333334,0.003188097768331565,138.5,1.0,Recovery,Summer,5.981414211254481,1,1,1
45066,"Austin-Round Rock, TX",9.0,True,Burnet Flats,Near North Austin,185,790,0.09699999999999999,0.0,448.5,1.0,Expansion,Spring,5.220355825078324,0,2,1
10087244,"Austin-Round Rock, TX",,False,Caliza,Cedar Park,270,940,0.024666666666666667,-3.878697800549965e-05,9.0,,Expansion,Winter,5.598421958998375,3,2,1
19776,"Austin-Round Rock, TX",11.0,True,Camden Brushy Creek,Cedar Park,272,883,0.10666666666666667,0.005031227113998637,8.5,6.0,Pre-GFC,Summer,5.605802066295998,1,0,1
19551,"Austin-Round Rock, TX",14.0,True,Camden Cedar Hills,Southwest Austin,208,911,0.09466666666666666,-0.005967922417008579,69.5,1.0,Pre-GFC,Spring,5.337538079701318,0,0,1
43357,"Austin-Round Rock, TX",2.0,True,Camden La Frontera,Round Rock/Georgetown,300,901,0.07333333333333332,-0.00198584367129867,155.0,1.0,Expansion,Spring,5.703782474656201,0,2,1
34951,"Austin-Round Rock, TX",11.0,True,Camden Lamar Heights,Near North Austin,314,838,0.05566666666666667,3.154042683594195e-19,483.0,1.0,Expansion,Summer,5.749392985908253,1,2,1
49990,"Austin-Round Rock, TX",15.0,True,Camden Rainey,Downtown/University,326,873,0.09033333333333332,-0.0018345550740371868,271.5,2.0,Expansion,Summer,5.786897381366708,1,2,1
37576,"Austin-Round Rock, TX",12.0,True,Century Stone Hill,Pflugerville/Wells Branch,370,953,0.056,0.0,250.5,1.0,Recovery,Fall,5.91350300563827,2,1,1
71860,"Austin-Round Rock, TX",29.0,True,Century Travesia,Pflugerville/Wells Branch,445,1015,0.03133333333333333,0.0,289.0,2.0,Expansion,Winter,6.09807428216624,3,2,1
80662,"Austin-Round Rock, TX",31.0,True,Cielo,Southwest Austin,554,997,0.049666666666666665,0.0001068613274145962,361.5,5.0,Recovery,Summer,6.317164686747284,1,1,1
10252099,"Austin-Round Rock, TX",,False,Citadel at Tech Ridge,North Central Austin,308,863,0.10299999999999998,-0.0009146963085305664,186.0,,COVID,Spring,5.730099782973574,0,3,1
20685,"Austin-Round Rock, TX",15.0,True,City North at Sunrise Ranch,Round Rock/Georgetown,384,949,0.08,-0.0015564419502964665,30.5,6.0,Recovery,Spring,5.950642552587727,0,1,1
41571,"Austin-Round Rock, TX",11.0,True,Coldwater,South Austin,225,882,0.06366666666666666,-0.0003747794480161273,1009.0,1.0,Expansion,Fall,5.41610040220442,2,2,1
26406,"Austin-Round Rock, TX",5.0,True,Cole,South Austin,119,1081,0.08966666666666667,-0.02816072217258788,941.5,1.0,Recovery,Fall,4.77912349311153,2,1,1
18272,"Austin-Round Rock, TX",14.0,True,Colonial Grand at Ashton Oaks,Round Rock/Georgetown,362,849,0.06999999999999999,-0.0010514471669140215,234.0,4.0,Pre-GFC,Fall,5.8916442118257715,2,0,1
34037,"Austin-Round Rock, TX",10.0,True,Colonial Grand at Double Creek,Far South Austin,296,939,0.08666666666666667,-0.00307692307692308,85.0,3.0,Recovery,Fall,5.69035945432406,2,1,1
19124,"Austin-Round Rock, TX",11.0,True,Colonial Grand at Onion Creek,Far South Austin,300,1042,0.09666666666666666,0.0004721060409058998,203.0,1.0,Pre-GFC,Spring,5.703782474656201,0,0,1
19624,"Austin-Round Rock, TX",8.0,True,Colonial Grand at Wells Branch,Pflugerville/Wells Branch,336,933,0.04666666666666667,0.009398621424528013,168.0,4.0,Pre-GFC,Winter,5.817111159963204,3,0,1
66090,"Austin-Round Rock, TX",39.0,True,Concord,Southeast Austin,346,1019,-0.013333333333333327,-0.0019723865877712024,282.0,1.0,Expansion,Summer,5.846438775057725,1,2,1
37409,"Austin-Round Rock, TX",19.0,True,Corazon,East Austin,256,832,0.068,0.004326372997711669,567.0,2.0,Expansion,Winter,5.545177444479562,3,2,1
49698,"Austin-Round Rock, TX",15.0,True,Cordevalle Apartments,Round Rock/Georgetown,280,788,0.063,0.0,24.0,1.0,Expansion,Spring,5.634789603169249,0,2,1
44461,"Austin-Round Rock, TX",11.0,True,Cortland Onion Creek,Far South Austin,276,828,0.081,0.003209570445670363,108.0,3.0,Expansion,Fall,5.62040086571715,2,2,1
19836,"Austin-Round Rock, TX",20.0,True,Cortland Southpark Estates II,Far South Austin,426,879,0.03000000000000001,0.0052403571701680005,102.0,4.0,Recovery,Spring,6.054439346269371,0,1,1
19837,"Austin-Round Rock, TX",20.0,True,Cortland Southpark Terraces,Far South Austin,244,926,0.031666666666666676,0.005240549828178698,214.0,4.0,Recovery,Spring,5.497168225293202,0,1,1
66166,"Austin-Round Rock, TX",1.0,True,Creekside at Kenney`s Fort,Round Rock/Georgetown,250,869,-0.13599999999999998,0.0,13.0,4.0,Expansion,Fall,5.521460917862246,2,2,1
70694,"Austin-Round Rock, TX",25.0,True,Creekside on Parmer Lane,East Austin,300,967,0.05666666666666667,-0.003076923076923076,89.0,5.0,Expansion,Summer,5.703782474656201,1,2,1
19965,"Austin-Round Rock, TX",11.0,True,Crescent,South Austin,157,699,0.08299999999999999,-0.0008984425656115102,590.0,1.0,Pre-GFC,Summer,5.056245805348308,1,0,1
41406,"Austin-Round Rock, TX",12.0,True,Crest at Round Rock,Round Rock/Georgetown,224,778,0.031333333333333324,0.011154855643044583,169.5,1.0,Recovery,Fall,5.4116460518550396,2,1,1
42294,"Austin-Round Rock, TX",6.0,True,Crestview Commons,Near North Austin,353,826,0.04933333333333334,-0.0015916577515954998,299.0,1.0,Expansion,Winter,5.8664680569332965,3,2,1
