stabilized,delivery_month,stabilization_month,leaseup_months,ProjID,Name,Submarket,Quantity,AreaPerUnit,YearBuilt,market
True,2015-01-01,2016-05-01,16.0,42336,The Catherine,South Austin,300,897,2015,"Austin-Round Rock, TX"
False,2019-04-01,,,85403,The Clark,Downtown/University,226,876,2019,"Austin-Round Rock, TX"
False,2020-08-01,,,10254371,The Conley,Cedar Park,259,929,2020,"Austin-Round Rock, TX"
False,2019-06-01,,,90771,The Copeland,North Central Austin,328,748,2019,"Austin-Round Rock, TX"
True,2016-04-01,2016-09-01,5.0,65886,The Corner,Downtown/University,63,1330,2016,"Austin-Round Rock, TX"
True,2008-09-01,2010-03-01,18.0,20697,The Cove at Saddle Creek,Far South Austin,208,787,2009,"Austin-Round Rock, TX"
True,2008-06-01,2009-08-01,14.0,35750,The Davis SoCo,South Austin,375,975,2008,"Austin-Round Rock, TX"
False,2019-12-01,,,92221,The Elizabeth at Presidio,Cedar Park,373,1020,2020,"Austin-Round Rock, TX"
True,2017-03-01,2018-08-01,17.0,52348,The Emerson,Pflugerville/Wells Branch,384,941,2017,"Austin-Round Rock, TX"
True,2009-11-01,2010-11-01,12.0,65404,The Fairways at Star Ranch,Round Rock/Georgetown,396,1034,2009,"Austin-Round Rock, TX"
True,2019-07-01,2020-09-01,14.0,10252089,The Fitzroy San Marcos,San Marcos,176,875,2020,"Austin-Round Rock, TX"
False,2020-03-01,,,10251563,The Flats at Shadowglen,East Austin,248,844,2020,"Austin-Round Rock, TX"
False,2020-01-01,,,91019,The Grand at the Domain,North Central Austin,180,928,2020,"Austin-Round Rock, TX"
True,2016-02-01,2016-07-01,5.0,69751,The Green at Plum Creek,San Marcos,246,838,2016,"Austin-Round Rock, TX"
True,2018-12-01,2019-08-01,8.0,88636,The Guthrie,East Austin,322,735,2019,"Austin-Round Rock, TX"
True,2017-02-01,2017-07-01,5.0,88543,The Heights on Parmer,North Central Austin,282,841,2017,"Austin-Round Rock, TX"
True,2017-02-01,2018-01-01,11.0,77756,The Highlands,Pflugerville/Wells Branch,292,857,2017,"Austin-Round Rock, TX"
True,2013-04-01,2014-02-01,10.0,42323,The Landing Double Creek,Far South Austin,293,831,2013,"Austin-Round Rock, TX"
True,2015-03-01,2015-10-01,7.0,42292,The M at Lakeline,Cedar Park,374,1163,2015,"Austin-Round Rock, TX"
False,2020-04-01,,,10253142,The Magnolia at Crestview,Near North Austin,226,893,2020,"Austin-Round Rock, TX"
True,2008-09-01,2011-04-01,31.0,19963,The Marquis at Brushy Creek,Cedar Park,360,977,2009,"Austin-Round Rock, TX"
True,2016-09-01,2018-06-01,21.0,66282,The Michael at Presidio,Cedar Park,415,892,2017,"Austin-Round Rock, TX"
True,2008-04-01,2009-06-01,14.0,19152,The Monarch by Windsor,Downtown/University,305,1265,2008,"Austin-Round Rock, TX"
True,2013-10-01,2014-07-01,9.0,42760,The Monterra Apartments,Northwest Austin,255,882,2014,"Austin-Round Rock, TX"
True,2019-07-01,2020-06-01,11.0,10253992,The Park at Estancia,Southeast Austin,320,878,2020,"Austin-Round Rock, TX"
True,2019-07-01,2020-06-01,11.0,10253290,The Ridge at Headwaters,Southwest Austin,168,880,2019,"Austin-Round Rock, TX"
False,2019-08-01,,,82343,The Saint Mary,Southwest Austin,240,1003,2019,"Austin-Round Rock, TX"
True,2016-08-01,2017-03-01,7.0,56838,The Santal I,Southwest Austin,236,982,2016,"Austin-Round Rock, TX"
True,2018-09-01,2019-05-01,8.0,82277,The Santal II,Southwest Austin,212,988,2018,"Austin-Round Rock, TX"
True,2018-10-01,2019-07-01,9.0,10251501,The Sarah,Cedar Park,270,997,2019,"Austin-Round Rock, TX"
True,2011-10-01,2012-08-01,10.0,34301,The Settlement,San Marcos,396,747,2012,"Austin-Round Rock, TX"
True,2016-07-01,2016-12-01,5.0,71772,The Standard at Domain North Side,North Central Austin,563,794,2016,"Austin-Round Rock, TX"
True,2016-04-01,2017-03-01,11.0,66304,The Standard at Leander Station,Cedar Park,225,858,2016,"Austin-Round Rock, TX"
True,2015-04-01,2016-06-01,14.0,55211,The Summit at Rivery Park I,Round Rock/Georgetown,228,817,2015,"Austin-Round Rock, TX"
True,2016-08-01,2018-07-01,23.0,71824,The View at Cedar Park,Cedar Park,166,911,2017,"Austin-Round Rock, TX"
True,2008-04-01,2009-11-01,19.0,13268,The Villas of Cordoba,Southeast Austin,156,1102,2003,"Austin-Round Rock, TX"
False,2020-07-01,,,10262830,The Vineyard,Pflugerville/Wells Branch,468,746,2021,"Austin-Round Rock, TX"
False,2020-08-01,,,10261718,The Weaver,East Austin,250,746,2020,"Austin-Round Rock, TX"
True,2016-12-01,2018-05-01,17.0,54780,Thornton Flats,South Austin,104,868,2017,"Austin-Round Rock, TX"
False,2019-11-01,,,10253948,Trailside Oaks,Cedar Park,105,1258,2020,"Austin-Round Rock, TX"
True,2019-04-01,2019-11-01,7.0,91020,Travis at The Lake,Far West Austin,312,950,2019,"Austin-Round Rock, TX"
True,2013-08-01,2014-11-01,15.0,35623,Tree Apartments,South Austin,335,823,2014,"Austin-Round Rock, TX"
True,2018-01-01,2018-08-01,7.0,71817,Trillium Terrace,Far South Austin,168,819,2018,"Austin-Round Rock, TX"
True,2013-01-01,2013-08-01,7.0,35681,Two Rivers,Round Rock/Georgetown,179,984,2013,"Austin-Round Rock, TX"
True,2017-04-01,2018-07-01,15.0,71821,Urban North,Northwest Austin,179,768,2017,"Austin-Round Rock, TX"
False,2020-02-01,,,10260384,Urbana at Goodnight Ranch,Southeast Austin,150,961,2020,"Austin-Round Rock, TX"
True,2010-03-01,2010-09-01,6.0,23047,Villages At The Domain,North Central Austin,444,888,2010,"Austin-Round Rock, TX"
True,2009-12-01,2010-08-01,8.0,26336,Villages at Turtle Rock,Northwest Austin,356,866,2009,"Austin-Round Rock, TX"
True,2018-03-01,2019-09-01,18.0,91636,Villages of Georgetown,Round Rock/Georgetown,438,1075,2019,"Austin-Round Rock, TX"
True,2015-03-01,2016-03-01,12.0,52347,Villas at Spring Trails I,Pflugerville/Wells Branch,270,937,2015,"Austin-Round Rock, TX"
True,2009-03-01,2010-06-01,15.0,30455,Villas at Tech Ridge,Pflugerville/Wells Branch,350,976,2009,"Austin-Round Rock, TX"
True,2010-09-01,2011-01-01,4.0,34304,Vista at Plum Creek,San Marcos,264,883,2010,"Austin-Round Rock, TX"
True,2014-05-01,2015-01-01,8.0,53652,Waller Creekside on 51st,Near North Austin,139,799,2014,"Austin-Round Rock, TX"
True,2018-06-01,2019-08-01,14.0,82292,Walnut Park,North Central Austin,277,978,2019,"Austin-Round Rock, TX"
True,2009-03-01,2010-05-01,14.0,62303,Walnut Ridge Phase I & II,Southeast Austin,200,940,2008,"Austin-Round Rock, TX"
True,2016-11-01,2017-10-01,11.0,51952,Water Marq,South Austin,264,1021,2017,"Austin-Round Rock, TX"
True,2019-03-01,2019-08-01,5.0,82396,Wells Junction,Pflugerville/Wells Branch,264,795,2019,"Austin-Round Rock, TX"
True,2015-10-01,2016-08-01,10.0,65698,West Koenig Flats,Near North Austin,210,931,2016,"Austin-Round Rock, TX"
True,2008-11-01,2010-04-01,17.0,20173,West Lake Vistas,Far West Austin,334,1032,2009,"Austin-Round Rock, TX"
True,2018-01-01,2019-11-01,22.0,36486,Westerly 360,Southwest Austin,189,991,2018,"Austin-Round Rock, TX"
False,2020-09-01,,,10255623,Whitestone Crossing,Cedar Park,120,928,2020,"Austin-Round Rock, TX"
True,2013-04-01,2014-02-01,10.0,37782,Whitley Apartments,Downtown/University,268,886,2013,"Austin-Round Rock, TX"
True,2018-12-01,2019-10-01,10.0,82341,Windsor Burnet,North Central Austin,352,893,2019,"Austin-Round Rock, TX"
True,2017-02-01,2018-03-01,13.0,82555,Windsor Lantana Hills,Southwest Austin,300,955,2017,"Austin-Round Rock, TX"
True,2018-08-01,2019-07-01,11.0,90988,Windsor Oak Hill,Southwest Austin,370,943,2019,"Austin-Round Rock, TX"
True,2009-01-01,2009-09-01,8.0,19876,Windsor On The Lake,Downtown/University,187,1131,2009,"Austin-Round Rock, TX"
True,2017-02-01,2018-06-01,16.0,71889,Windsor Republic Place,Northwest Austin,290,955,2018,"Austin-Round Rock, TX"
True,2014-11-01,2016-05-01,18.0,41311,Windsor South Lamar,South Austin,340,905,2015,"Austin-Round Rock, TX"
True,2017-05-01,2018-01-01,8.0,79577,Woodcreek Apartments,San Marcos,72,935,2017,"Austin-Round Rock, TX"
False,2020-06-01,,,10258733,797 Residence & Suites,South Summit County,60,959,2019,"Akron, OH"
False,2020-03-01,,,87610,Bowery District,South Summit County,92,897,2020,"Akron, OH"
True,2017-09-01,2018-09-01,12.0,47913,Colony Hills,South Summit County,40,1183,2017,"Akron, OH"
False,2018-05-01,,,92308,Copper Creek,Kent/Portage County,182,1012,2018,"Akron, OH"
True,2016-01-01,2016-05-01,4.0,51333,East End Residences,South Summit County,105,842,2016,"Akron, OH"
