ProjID,market,leaseup_months,stabilized,Name,Submarket,Quantity,AreaPerUnit,occ_velocity,concession_burn_rate,rent_gap_vs_submarket,grade_score,delivery_era,delivery_season,log_quantity,season_enc,era_enc,market_enc,cluster,tsne_x,tsne_y
56313,"Austin-Round Rock, TX",29.0,True,Eastside Station,East Austin,330,775,-0.001,-0.0005323650862964625,795.0,1.0,Expansion,Winter,5.799092654460526,3,2,1,0,-13.887194,-5.2329926
44001,"Austin-Round Rock, TX",8.0,True,Echo,Near North Austin,274,880,0.05599999999999997,-0.015634395670475,426.0,1.0,Expansion,Winter,5.6131281063880705,3,2,1,0,-15.861049,-4.10965
86303,"Austin-Round Rock, TX",16.0,True,Edgewater,Pflugerville/Wells Branch,326,785,0.134,-0.004840225563909775,78.5,1.0,Expansion,Summer,5.786897381366708,1,2,1,0,4.251437,0.2227077
82302,"Austin-Round Rock, TX",12.0,True,Edison,Riverside,354,956,0.064,0.00609756097560975,668.5,2.0,Expansion,Winter,5.869296913133774,3,2,1,0,-15.182057,-0.48393324
42296,"Austin-Round Rock, TX",11.0,True,Elan East,East Austin,251,728,0.050666666666666665,-0.00703125,310.0,1.0,Expansion,Spring,5.5254529391317835,0,2,1,0,4.3529625,-4.679002
59175,"Austin-Round Rock, TX",16.0,True,Elan Parkside I,North Central Austin,255,878,0.041666666666666664,-0.0006463879846683564,583.0,1.0,Expansion,Fall,5.541263545158426,2,2,1,0,-10.73326,-4.4295654
37272,"Austin-Round Rock, TX",12.0,True,Eleven,East Austin,257,797,0.059666666666666666,0.0,867.0,1.0,Recovery,Fall,5.54907608489522,2,1,1,1,13.889215,-5.903619
86205,"Austin-Round Rock, TX",17.0,True,Enclave Falcon Pointe,Pflugerville/Wells Branch,324,950,0.065,-0.006226394536666034,45.0,3.0,Expansion,Winter,5.780743515792329,3,2,1,0,-11.025109,2.3313696
70684,"Austin-Round Rock, TX",12.0,True,Estancia Villas,Far South Austin,312,837,0.06066666666666667,0.0,26.0,5.0,Expansion,Spring,5.7430031878094825,0,2,1,2,1.0743984,8.321444
38849,"Austin-Round Rock, TX",36.0,True,Estates at Bee Cave,Southwest Austin,316,973,0.028333333333333335,0.0021481481481481503,133.0,5.0,Expansion,Summer,5.755742213586912,1,2,1,2,-0.388031,10.359879
10254214,"Austin-Round Rock, TX",,False,Estraya Georgetown,Round Rock/Georgetown,270,925,0.037333333333333336,1.043478748050016e-05,154.5,,Expansion,Summer,5.598421958998375,1,2,1,0,-3.2026463,1.5978124
